,rank,frequency,lemma
202,270,262.13,出来る
203,271,261.99,受ける
204,274,259.69,経済
205,275,256.89,あなた
206,276,256.71,手
207,277,256.65,もらう
208,278,256.52,そこ
209,279,255.07,による
210,280,255.0,最近
211,281,254.97,結果
212,282,254.9,買う
213,283,253.91,度
214,285,252.95,しか
215,286,250.53,違う
216,287,250.2,映画
217,289,249.49,先生
218,290,248.26,生活
219,291,248.1,にる
220,292,247.4,金
221,294,243.86,時代
222,295,243.73,政府
223,296,243.43,非常
224,297,242.38,得る
225,298,241.47,御
226,300,240.17,店
227,301,238.49,くらい
228,302,238.11,まだ
229,303,237.28,において
230,304,236.88,内容
231,306,235.68,一つ
232,307,234.72,心
233,309,232.04,説明
234,310,229.48,写真
235,311,228.05,ただ
236,312,226.71,サイト
237,313,226.58,教育
238,314,226.45,女性
239,315,226.31,子供
240,316,225.14,方法
241,317,224.28,に対して
242,319,222.41,大きい
243,320,222.4,あるいは
244,321,221.21,名
245,322,220.74,利用
246,323,219.77,さらに
247,324,217.76,少し
248,325,216.88,紹介
249,326,215.72,技術
250,327,214.35,いろいろ
251,328,214.08,なんて
252,329,212.05,名前
253,330,211.93,参加
254,331,210.77,らしい
255,332,210.53,分かる
256,333,210.02,大きな
257,334,209.23,食べる
258,335,209.06,感じ
259,336,207.54,やはり
260,338,206.32,く
261,339,206.09,うち
262,340,205.4,入れる
263,341,204.39,見える
264,342,204.21,どの
265,343,203.3,にとって
266,344,202.03,活動
267,345,201.93,東京
268,346,201.75,好き
269,347,200.53,どこ
270,348,199.85,かなり
271,349,199.82,こんな
272,350,199.37,状況
273,351,198.03,五
274,352,197.61,新しい
275,353,197.04,に対する
276,354,196.81,無い
277,355,195.51,強い
278,356,195.49,管理
279,357,195.39,特に
280,358,195.09,環境
281,359,194.74,ページ
282,361,193.88,のに
283,362,193.1,地域
284,363,192.97,始める
285,364,192.95,本当に
286,365,192.82,悪い
287,366,192.48,実際
288,367,192.21,中国
289,368,191.93,市
290,369,191.78,先
291,370,190.95,誰
292,371,190.82,個人
293,372,190.46,意見
294,373,189.75,状態
295,374,189.63,歳
296,375,189.42,大学
297,376,188.97,多く
298,377,188.77,物
299,378,188.45,存在
300,379,188.12,最後
301,380,187.65,終わる
302,381,187.33,笑
303,382,187.29,つく
304,383,187.2,システム
305,384,187.14,すべて
306,385,187.08,彼女
307,386,187.03,理解
308,387,186.94,学校
309,388,186.57,部分
310,389,186.11,とても
311,390,185.07,電話
312,391,184.27,用
313,392,183.79,部
314,394,183.71,県
315,395,183.44,日記
316,396,182.73,メール
317,397,182.62,いける
318,398,182.61,制度
319,399,182.53,続ける
320,400,182.02,使用
321,401,181.44,スる
322,402,180.72,事業
323,403,180.23,四
324,404,179.81,固定
325,405,179.64,調査
326,406,179.63,変わる
327,407,179.62,続く
328,408,179.34,基本
329,409,179.33,もちろん
330,410,178.76,関連
331,411,178.74,一般
332,412,178.1,あと
333,413,176.87,開発
334,414,176.36,あの
335,415,175.97,音楽
336,416,175.91,一番
337,417,175.29,内
338,418,175.26,作品
339,419,175.01,側
340,420,175.01,重要
341,422,172.48,とる
342,423,172.16,最初
343,424,171.57,様
344,425,171.54,達
345,426,171.28,国民
346,427,171.16,サービス
347,428,171.15,もっと
348,429,169.37,に関する
349,430,169.02,こちら
350,431,168.92,かける
351,432,168.9,水
352,433,167.35,新
353,434,167.05,つける
354,435,166.62,事件
355,436,166.43,英語
356,437,166.1,所
357,438,166.04,質問
358,439,165.95,形
359,440,165.92,ほとんど
360,441,164.94,ふう
361,442,164.71,男
362,443,164.59,はず
363,444,164.46,まず
364,445,162.65,約
365,446,162.27,こう
366,447,161.62,主義
367,448,161.22,下
368,449,161.05,場
369,450,160.92,ちゃん
370,451,160.42,理由
371,452,160.28,書
372,453,158.75,社
373,455,158.39,ン
374,456,158.24,場所
375,457,158.21,機能
376,458,157.92,米
377,459,157.28,お願い
378,460,157.16,労働
379,461,157.08,いつも
380,463,156.94,車
381,464,156.65,相手
382,465,155.93,国際
383,466,155.92,自身
384,467,155.19,声
385,468,154.93,取る
386,469,154.72,計画
387,470,154.49,かかる
388,471,154.39,ほう
389,472,154.32,政治
390,473,153.9,別
391,474,153.26,ばかり
392,475,153.09,系
393,476,153.02,感
394,477,152.03,億
395,478,151.62,頃
396,479,151.62,号
397,480,151.54,における
398,481,151.46,長
399,482,150.29,日本人
400,483,150.17,今後
401,484,149.83,つまり
402,485,149.08,呼ぶ
403,486,148.88,まま
404,487,148.87,下さる
405,488,148.58,文化
406,489,147.55,体
407,490,146.78,与える
408,491,146.77,こ
409,492,146.45,ちゃう
410,493,146.23,大変
411,494,145.2,彼ら
412,495,145.09,評価
413,496,145.05,百
414,497,144.97,やすい
415,498,144.41,対応
416,499,144.24,求める
417,500,144.03,権
418,501,143.8,頭
419,502,143.68,あまり
420,503,143.56,子
421,504,143.0,自由
422,506,142.52,すぎる
423,507,141.0,昨日
424,508,140.29,みたい
425,509,140.19,すぐ
426,510,140.17,これから
427,511,140.15,戻る
428,512,140.06,歴史
429,513,140.04,全体
430,514,140.0,長い
431,515,139.89,少ない
432,516,139.81,気持ち
433,517,139.6,報告
434,518,139.27,程度
435,520,138.74,元
436,521,138.57,人々
437,523,138.24,予定
438,524,137.97,代表
439,525,137.68,その後
440,526,137.65,経験
441,527,137.59,型
442,528,136.95,員
443,529,136.92,ネット
444,530,136.82,以外
445,531,136.79,なぁ
446,532,136.58,今年
447,533,136.52,価格
448,534,136.15,投資
449,535,135.9,経営
450,536,135.84,早い
451,537,135.61,ニュース
452,538,135.16,帰る
453,539,134.39,それぞれ
454,540,134.32,自然
455,541,134.2,商品
456,542,133.86,なかなか
457,543,133.81,発表
458,544,133.43,教える
459,545,133.41,目的
460,546,132.97,影響
461,547,132.9,地方
462,548,132.89,生きる
463,549,132.84,だから
464,550,132.84,テレビ
465,551,132.07,一緒
466,552,132.0,面
467,553,131.48,顔
468,554,131.42,選手
469,555,131.4,楽しい
470,556,130.5,道
471,557,130.39,けれど
472,558,130.26,みんな
473,559,130.06,子ども
474,560,129.91,実は
475,561,129.79,確か
476,562,129.69,でる
477,563,129.53,千
478,564,129.28,確認
479,565,129.08,ありがとう
480,566,128.74,夜
481,567,128.69,例えば
482,568,128.56,中心
483,569,128.42,市場
484,570,128.21,音
485,571,128.18,提供
486,572,127.82,事実
487,573,127.61,地
488,574,127.43,簡単
489,575,127.26,面白い
490,576,127.26,朝
491,577,127.13,版
492,578,127.03,学
493,579,127.02,なぜ
494,580,127.0,当然
495,581,126.97,以下
496,582,126.89,責任
497,583,126.67,六
498,584,126.29,ゲーム
499,585,126.23,議論
500,586,126.04,これら
501,587,125.89,以前
502,588,125.78,位
503,589,125.74,データ
504,590,125.06,示す
505,591,124.69,判断
506,592,124.62,例
507,593,124.4,専門
508,594,124.3,家族
509,595,123.87,しかも
510,596,123.71,初めて
511,597,123.55,勉強
512,598,123.19,申し上げる
513,599,123.18,話す
514,600,123.02,もつ
515,601,122.97,期待
516,602,122.69,難しい
517,603,122.57,そこで
518,604,122.48,いま
519,605,122.4,全く
520,606,122.05,韓国
521,607,122.0,外
522,608,122.0,たくさん
523,609,121.97,効果
524,610,121.79,検討
525,611,121.62,各
526,612,121.33,普通
527,613,121.21,組織
528,614,121.06,政策
529,615,120.81,町
530,616,120.6,行動
531,617,119.66,年間
532,618,119.45,こそ
533,619,119.45,置く
534,620,119.39,率
535,621,119.23,当時
536,622,119.0,学生
537,623,118.9,飲む
538,624,118.29,海
539,625,117.84,よく
540,626,117.61,販売
541,627,117.58,どんな
542,628,117.22,つつ
543,629,116.96,購入
544,630,116.84,科学
545,631,116.41,監督
546,632,116.37,意識
547,633,115.67,認める
548,634,115.65,欲しい
549,635,115.08,九
550,636,115.05,わ
551,637,114.99,通り
552,638,114.83,とも
553,639,114.49,立つ
554,640,114.26,生産
555,641,113.89,表現
556,642,113.8,戦争
557,643,113.73,ねる
558,644,113.68,参考
559,645,113.58,始まる
560,646,113.4,ひとつ
561,647,113.14,その他
562,648,112.98,決定
563,649,112.76,まあ
564,650,112.73,ぐらい
565,652,112.56,曲
566,653,112.49,同
567,654,112.39,ク
568,655,112.26,やっぱり
569,656,112.23,法律
570,657,111.96,機関
571,658,110.75,開く
572,659,110.53,ビジネス
573,660,110.19,さて
574,661,110.03,対象
575,662,109.98,チーム
576,663,109.68,現実
577,664,109.52,進む
578,665,109.51,対策
579,666,109.11,作業
580,667,108.78,すごい
581,668,108.72,価値
582,669,108.57,テーマ
583,670,108.55,十分
584,671,108.48,含む
585,672,108.47,一部
586,673,108.25,語
587,674,108.22,決める
588,675,108.12,姿
589,676,108.08,新聞
590,677,108.04,一方
591,678,107.87,風
592,679,107.79,八
593,680,107.52,際
594,681,107.31,考え
595,682,107.11,ラ
596,683,107.1,残る
597,684,107.07,論
598,685,106.84,のみ
599,686,106.71,全て
600,687,106.52,及び
601,688,106.51,大臣
602,689,106.48,神
603,690,106.22,国家
604,691,105.95,件
605,692,105.94,語る
606,693,105.86,毎日
607,694,105.82,俺
608,695,105.8,試合
609,696,105.68,もし
610,697,105.26,七
611,698,105.25,ま
612,699,105.21,会議
613,700,105.07,いつ
614,701,105.02,指摘
615,702,104.86,言える
616,704,104.76,歩く
617,705,104.72,製品
618,706,104.69,変化
619,707,104.49,結局
620,708,104.46,消費
621,709,104.3,保険
622,710,103.99,り
623,711,103.88,具体
624,712,103.75,あげる
625,713,103.74,人生
626,714,103.7,量
627,715,103.41,米国
628,716,103.2,表示
629,717,102.9,変える
630,718,102.84,精神
631,719,102.78,街
632,720,102.65,過去
633,721,102.53,レベル
634,722,102.52,我々
635,723,102.04,インターネット
636,724,101.83,能力
637,725,101.8,選ぶ
638,726,101.67,指導
639,727,101.22,更新
640,728,100.92,公開
641,729,100.65,日本語
642,730,100.63,皆さん
643,731,100.02,働く
644,733,100.0,屋
645,734,99.95,ほか
646,735,99.66,女
647,736,99.49,昔
648,737,99.37,担当
649,738,99.3,費
650,739,99.25,わたし
651,740,99.17,送る
652,741,99.11,明日
653,742,99.09,旅行
654,743,99.05,夢
655,744,98.94,それから
656,745,98.8,明らか
657,746,98.74,乗る
658,747,98.43,つくる
659,749,97.71,木
660,750,97.6,機
661,751,97.58,大切
662,752,97.55,忘れる
663,753,97.53,局
664,754,97.42,行政
665,755,97.4,安全
666,756,97.31,外国
667,757,97.27,増える
668,758,96.97,お金
669,759,96.71,資料
670,760,96.57,部屋
671,761,96.4,行為
672,762,96.35,あ
673,763,96.31,平成
674,764,96.1,いや
675,765,96.04,なん
676,766,96.02,楽しむ
677,767,95.97,色
678,768,95.82,待つ
679,769,95.74,登録
680,770,95.66,ドイツ
681,771,95.61,うまい
682,772,95.5,設定
683,773,95.28,どういう
684,774,95.27,述べる
685,775,95.19,成功
686,776,95.03,努力
687,777,94.95,戦
688,778,94.7,団体
689,779,94.63,につきまして
690,780,94.58,支援
691,781,94.53,最も
692,782,94.49,自己
693,783,94.46,全
694,784,94.45,年度
695,785,94.44,運動
696,786,94.27,構造
697,787,94.26,特別
698,788,94.21,ド
699,789,94.0,解決
700,790,93.78,完全
701,791,93.59,品
702,792,93.53,訳
703,793,93.33,向かう
704,794,93.13,男性
705,795,93.1,結構
706,796,93.06,産業
707,797,92.87,軍
708,798,92.77,主
709,799,92.33,に関して
710,800,92.25,人気
711,801,92.23,お話
712,802,92.05,駅
713,803,92.04,描く
714,804,92.02,近く
715,805,91.96,最終
716,806,91.37,ドル
717,807,91.35,過ぎる
718,808,91.33,保護
719,809,91.28,上げる
720,810,91.26,再
721,811,91.15,グループ
722,812,91.11,生
723,813,91.09,ポイント
724,814,90.88,ども
725,815,90.86,センター
726,816,90.86,開催
727,817,90.84,方向
728,818,90.83,改革
729,819,90.8,検索
730,820,90.77,走る
731,821,90.75,生まれる
732,823,90.59,起こる
733,825,89.95,健康
734,826,89.89,障害
735,827,89.86,ヶ月
736,828,89.84,起きる
737,829,89.43,協力
738,830,89.37,時期
739,831,89.33,料理
740,832,89.08,考え方
741,833,89.05,医療
742,834,89.04,頂く
743,835,88.94,金融
744,836,88.89,売る
745,837,88.88,試験
746,838,88.86,により
747,839,88.83,進める
748,840,88.79,死ぬ
749,841,88.69,フランス
750,842,88.61,近い
751,843,88.5,立場
752,844,88.48,契約
753,845,88.16,すでに
754,846,87.88,条件
755,847,87.84,放送
756,849,87.64,全国
757,850,87.58,違い
758,851,87.35,室
759,852,87.24,なあ
760,853,87.22,枚
761,854,87.12,ずっと
762,855,87.1,作成
763,856,87.07,足
764,857,87.0,学ぶ
765,858,86.87,成長
766,859,86.85,施設
767,860,86.81,リ
768,861,86.54,登場
769,862,86.51,知識
770,863,86.49,携帯
771,864,86.39,実現
772,865,86.35,友人
773,866,85.98,海外
774,867,85.86,原因
775,868,85.82,実施
776,869,85.76,昨年
777,871,85.44,探す
778,872,85.26,病院
779,873,85.22,代
780,874,85.09,認識
781,875,85.06,夏
782,876,84.99,および
783,877,84.73,イメージ
784,878,84.72,段階
785,879,84.7,発生
786,880,84.58,反対
787,881,84.49,会う
788,882,84.45,期間
789,883,84.37,区
790,884,84.3,トップ
791,885,84.15,条
792,886,83.95,若い
793,887,83.94,見せる
794,888,83.88,午後
795,889,83.59,税
796,890,83.5,主張
797,891,83.31,変更
798,892,83.26,サッカー
799,893,83.22,パソコン
800,894,83.2,限り
801,896,83.13,高
802,897,83.06,番組
803,898,83.01,今度
804,899,83.0,ホームページ
805,900,82.4,準備
806,901,82.35,処理
807,902,82.23,口
808,903,82.13,式
809,904,82.1,または
810,905,82.05,だって
811,906,81.99,絶対
812,907,81.85,伝える
813,908,81.79,結婚
814,909,81.76,社長
815,910,81.72,守る
816,911,81.71,体験
817,912,81.68,基準
818,913,81.62,発言
819,914,81.56,深い
820,915,81.44,住む
821,916,81.43,都市
822,917,81.36,ぞ
823,918,81.29,親
824,919,81.22,機会
825,920,81.19,展開
826,921,81.18,ほしい
827,922,81.07,授業
828,923,81.01,デザイン
829,924,80.85,火
830,925,80.66,自体
831,926,80.51,興味
832,927,80.47,掲載
833,928,80.31,含める
834,929,80.0,編集
835,930,79.53,選択
836,931,79.36,いわゆる
837,932,79.34,信じる
838,933,79.25,もん
839,934,79.23,週間
840,935,79.16,負担
841,936,79.16,文字
842,937,78.95,最大
843,938,78.94,無料
844,939,78.77,相談
845,940,78.77,注意
846,941,78.71,ホテル
847,942,78.46,まったく
848,943,78.36,株
849,944,78.33,思える
850,945,78.07,全部
851,946,78.06,しっかり
852,947,77.8,開始
853,948,77.78,上がる
854,949,77.56,身
855,950,77.5,イベント
856,951,77.46,分析
857,952,77.43,アクセス
858,953,77.37,同時に
859,954,77.35,詳細
860,955,77.31,合う
861,956,77.29,動く
862,957,77.23,える
863,958,77.22,先ほど
864,959,77.19,派
865,960,77.04,アップ
866,961,76.78,将来
867,962,76.78,予算
868,963,76.77,愛
869,964,76.76,目標
870,965,76.75,台
871,966,76.75,通信
872,968,76.63,比べる
873,969,76.63,プログラム
874,970,76.61,させる
875,971,76.56,分野
876,972,76.49,ちなみに
877,974,76.48,花
878,975,76.37,向ける
879,976,76.29,国内
880,977,76.17,土
881,978,76.12,時刻
882,979,76.05,つ
883,980,75.91,そのまま
884,981,75.9,逆
885,982,75.72,発見
886,983,75.63,とにかく
887,984,75.57,きる
888,985,75.38,最高
889,986,75.38,頑張る
890,987,75.22,為
891,988,75.16,覚える
892,989,75.05,利益
893,990,75.05,どちら
894,991,75.01,小
895,992,74.99,銀行
896,993,74.98,終了
897,994,74.93,事務
898,995,74.82,出版
899,996,74.82,連絡
900,997,74.73,正しい
901,998,74.72,プロ
902,999,74.61,大会
903,1000,74.57,練習
904,1001,74.49,様々
905,1002,74.48,娘
906,1003,74.47,州
907,1004,74.37,こうした
908,1005,74.3,ファン
909,1006,74.29,同様
910,1007,74.28,小さな
911,1008,74.24,大阪
912,1009,74.23,共通
913,1010,74.2,つもり
914,1011,74.18,現代
915,1012,74.11,被害
916,1013,74.08,住宅
917,1014,74.01,選挙
918,1015,74.01,とともに
919,1016,73.93,新た
920,1017,73.84,大事
921,1018,73.83,あたり
922,1019,73.81,ろ
923,1020,73.78,安い
924,1021,73.7,山
925,1022,73.54,批判
926,1023,73.52,報道
927,1024,73.2,動き
928,1026,73.04,心配
929,1027,72.95,見つける
930,1028,72.94,本日
931,1029,72.92,残念
932,1030,72.89,なお
933,1031,72.89,クリック
934,1032,72.87,小さい
935,1033,72.61,業界
936,1034,72.58,相当
937,1035,72.55,どれ
938,1036,72.54,議員
939,1037,72.43,業務
940,1038,72.43,なか
941,1039,72.41,章
942,1040,72.39,調べる
943,1041,72.37,攻撃
944,1042,72.33,思い
945,1043,72.24,スポーツ
946,1044,72.13,メンバー
947,1045,72.07,世紀
948,1046,72.05,演奏
949,1047,71.94,家庭
950,1048,71.89,直接
951,1049,71.89,ところが
952,1050,71.65,聴く
953,1051,71.59,構成
954,1052,71.58,文章
955,1053,71.53,案
956,1054,71.49,異なる
957,1055,71.44,驚く
958,1056,71.39,希望
959,1057,71.35,もと
960,1058,71.29,記憶
961,1059,71.28,方々
962,1060,71.11,取引
963,1062,71.01,美しい
964,1063,70.98,加える
965,1064,70.96,市民
966,1065,70.93,超
967,1066,70.87,とおり
968,1067,70.74,資金
969,1068,70.7,メディア
970,1069,70.69,友達
971,1070,70.68,危険
972,1071,70.62,運営
973,1072,70.6,導入
974,1073,70.45,予想
975,1074,70.4,ファイル
976,1075,70.23,いずれ
977,1076,70.22,モデル
978,1077,70.08,必ず
979,1078,70.0,たとえば
980,1079,69.98,答える
981,1080,69.77,レ
982,1081,69.76,発売
983,1082,69.7,はっきり
984,1083,69.66,寝る
985,1084,69.64,目指す
986,1085,69.64,話題
987,1086,69.59,建築
988,1087,69.57,印象
989,1088,69.45,詳しい
990,1089,69.39,課題
991,1091,69.34,事故
992,1092,69.23,ライブ
993,1093,69.15,低い
994,1094,69.11,ソフト
995,1095,68.94,額
996,1096,68.91,る
997,1097,68.66,バス
998,1098,68.57,困る
999,1099,68.56,母
1000,1100,68.54,チェック
1001,1101,68.48,ちゃんと
1002,1102,68.46,われわれ
1003,1104,68.02,学習
1004,1105,67.95,靴
1005,1106,67.94,むしろ
1006,1107,67.83,まさに
1007,1108,67.82,権利
1008,1109,67.78,発展
1009,1110,67.76,記録
1010,1111,67.69,割
1011,1112,67.68,光
1012,1113,67.61,個
1013,1114,67.59,計算
1014,1115,67.54,雨
1015,1116,67.54,設計
1016,1117,67.54,種類
1017,1118,67.5,非
1018,1119,67.41,現場
1019,1120,67.39,途中
1020,1121,67.31,気分
1021,1122,67.27,昭和
1022,1123,67.15,地球
1023,1124,67.15,嬉しい
1024,1125,67.12,移動
1025,1126,67.05,絵
1026,1127,66.92,ごと
1027,1128,66.91,限る
1028,1129,66.9,料
1029,1130,66.85,発行
1030,1131,66.8,宗教
1031,1132,66.8,企画
1032,1133,66.77,改正
1033,1134,66.7,数字
1034,1135,66.57,倍
1035,1136,66.56,線
1036,1137,66.45,そのもの
1037,1138,66.44,不安
1038,1139,66.34,自ら
1039,1140,66.27,決まる
1040,1141,66.17,広い
1041,1142,66.12,広告
1042,1143,65.99,土地
1043,1144,65.94,それら
1044,1145,65.93,有名
1045,1146,65.92,基づく
1046,1147,65.92,言語
1047,1148,65.91,共同
1048,1149,65.84,年代
1049,1150,65.84,タイプ
1050,1151,65.79,観る
1051,1152,65.78,プロジェクト
1052,1153,65.75,要求
1053,1154,65.7,差
1054,1155,65.64,残す
1055,1156,65.61,教授
1056,1157,65.52,さえ
1057,1158,65.44,戦略
1058,1159,65.42,営業
1059,1160,65.26,制
1060,1161,65.16,無理
1061,1162,65.01,役割
1062,1164,64.95,改善
1063,1165,64.91,北朝鮮
1064,1166,64.89,きっと
1065,1167,64.82,期
1066,1168,64.78,イギリス
1067,1169,64.7,ユーザー
1068,1170,64.69,撮影
1069,1171,64.62,エネルギー
1070,1172,64.56,知れる
1071,1173,64.54,拡大
1072,1174,64.52,色々
1073,1175,64.4,いただける
1074,1176,64.35,道路
1075,1177,64.32,種
1076,1178,64.25,切る
1077,1179,64.09,憲法
1078,1180,64.06,感謝
1079,1181,64.02,い
1080,1182,63.93,感覚
1081,1183,63.88,旅
1082,1184,63.63,紙
1083,1185,63.58,高校
1084,1186,63.48,なり
1085,1187,63.45,付ける
1086,1188,63.44,厳しい
1087,1191,63.07,仕方
1088,1192,62.88,合わせる
1089,1193,62.86,実行
1090,1194,62.7,とりあえず
1091,1195,62.6,記者
1092,1196,62.56,通常
1093,1197,62.52,既に
1094,1198,62.52,現状
1095,1199,62.5,建設
1096,1200,62.45,味
1097,1201,62.45,だが
1098,1203,62.28,スタッフ
1099,1204,62.28,先日
1100,1205,62.28,最新
1101,1206,62.27,中央
1102,1207,62.22,幸せ
1103,1208,62.21,似る
1104,1209,62.13,犬
1105,1210,62.1,平均
1106,1211,62.05,カード
1107,1212,62.03,あれ
1108,1213,62.01,物語
1109,1214,61.75,末
1110,1215,61.74,財政
1111,1217,61.5,追加
1112,1218,61.47,不思議
1113,1219,61.44,ネットワーク
1114,1220,61.41,警察
1115,1221,61.39,初
1116,1222,61.38,雑誌
1117,1223,61.36,提案
1118,1224,61.36,編
1119,1225,61.3,思い出す
1120,1226,61.27,大人
1121,1227,61.16,日々
1122,1228,61.03,様子
1123,1229,60.96,なさる
1124,1230,60.94,いろんな
1125,1231,60.93,生徒
1126,1232,60.92,にくい
1127,1233,60.81,マン
1128,1234,60.76,総合
1129,1236,60.63,使える
1130,1237,60.63,値
1131,1238,60.58,活用
1132,1239,60.56,決して
1133,1240,60.54,交換
1134,1241,60.51,身体
1135,1242,60.46,整備
1136,1243,60.35,リスク
1137,1244,60.34,規定
1138,1245,60.29,想像
1139,1246,60.28,ああ
1140,1247,60.26,ケース
1141,1248,60.17,アジア
1142,1249,60.03,左
1143,1250,59.96,満足
1144,1251,59.96,規模
1145,1252,59.84,集
1146,1253,59.8,本当
1147,1254,59.77,以降
1148,1255,59.75,比較
1149,1256,59.72,素晴らしい
1150,1257,59.68,法人
1151,1258,59.6,クラス
1152,1259,59.59,犯罪
1153,1260,59.57,おっしゃる
1154,1261,59.56,午前
1155,1262,59.52,ちる
1156,1263,59.48,会長
1157,1264,59.45,せい
1158,1265,59.44,通る
1159,1266,59.37,なんと
1160,1267,59.35,超える
1161,1268,59.24,平和
1162,1269,59.24,基礎
1163,1270,59.16,特定
1164,1271,59.13,ヨーロッパ
1165,1272,59.11,ネタ
1166,1273,59.0,流れ
1167,1274,59.0,どうも
1168,1275,58.94,ドア
1169,1276,58.93,村
1170,1277,58.93,画像
1171,1278,58.92,少年
1172,1279,58.9,いえる
1173,1280,58.86,安定
1174,1281,58.75,実験
1175,1282,58.75,ちゃ
1176,1283,58.68,つる
1177,1284,58.64,メーカー
1178,1285,58.62,間違い
1179,1286,58.61,本人
1180,1287,58.61,雰囲気
1181,1288,58.6,国会
1182,1289,58.59,気づく
1183,1290,58.58,まぁ
1184,1291,58.57,患者
1185,1292,58.54,歌
1186,1293,58.45,会場
1187,1294,58.44,治療
1188,1296,58.39,ぜひ
1189,1297,58.32,それでも
1190,1298,58.31,電子
1191,1299,58.23,小説
1192,1300,58.16,箸
1193,1301,58.07,死
1194,1302,58.02,注目
